Shop,Order_Date_FK,ProductCode,OriginalSaleAmountInclVAT,CustomerID,SaleDocumentNumber,Returned,RevenueInclVAT,CostPriceExclVAT,BrandName,ModelGroup,ProductGroup
36,20210730,-1968361059464632550,99.95,-2190786785520839526,23995792,0,74.96,36.534515,3694837121284491212,3162564956579801398,-453682476182549203
58,20210730,-1745497788861904687,21.95,-3499949798555834600,23995794,0,21.95,7.364523,-1657270726128381662,-6715310361529623819,-453682476182549203
49,20210730,-4482110002029860032,69.95,-7841417233849937172,23995797,0,38.47,24.415,-7202472198306336051,-248459121805647149,5294166889150293396
49,20210730,-9146072753857637799,99.95,-7841417233849937172,23995797,0,54.97,32.293506,-2074012670196538378,-248459121805647149,5294166889150293396
15,20210730,-8829485741699345914,49.95,7033964597104594686,23995798,0,17.48,8.885632,-4869459690934553786,-4124706989267335995,-453682476182549203
15,20210730,9221523181585526717,59.95,7033964597104594686,23995798,0,44.96,16.994261,-1657270726128381662,-4124706989267335995,-453682476182549203
15,20210730,9221523181585526717,59.95,7033964597104594686,23995798,0,44.96,16.994261,-1657270726128381662,-4124706989267335995,-453682476182549203
